ROG (A),CV (J/K),TAUS (fs)
13.16998481,0.579575379,52818.469
14.61073749,0.530915526,75853.695
13.27711979,0.59186101,54891.671
13.67261972,0.609646028,60958.712
13.14124766,0.628836115,51410.171
13.2419519,0.61595912,50187.054
13.17095175,0.571394978,49216.965
14.62251175,0.518561765,82625.149
13.49040585,0.594061709,57282.078
14.06410751,0.520596599,69816.006
13.36166793,0.671101809,55064.725
12.72209692,0.609347789,45257.82
13.82286403,0.615649974,59365.873
13.4031597,0.550158958,50947.117
14.2559826,0.499617625,69068.028
15.17564068,0.505836149,82744.345
14.40946841,0.517206692,76048.698
13.52863001,0.624315968,61887.72
13.08416486,0.711764083,53386.468
13.41676787,0.592595323,55634.364
14.63786187,0.508445138,78751.827
12.96290284,0.639164424,48199.041
14.24144515,0.53209939,70686.327
13.69088492,0.535829404,60664.085
13.26514794,0.562346451,54034.71
13.89210135,0.58573331,65136.526
13.90834749,0.611971965,65565.274
13.3020754,0.652967455,53675.078
13.43531875,0.610671246,56824.442
15.46679637,0.542660592,95130.929
13.12676921,0.69716117,46534.85
13.06195812,0.832203163,46854.031
13.58679506,0.577778356,60052.703
13.69488627,0.592735819,61672.968
14.14189414,0.544216247,65192.851
13.15032281,0.700872296,52159.777
13.08183626,0.688970959,48984.02
13.26674678,0.636267795,52622.085
13.98780826,0.579446364,69978.026
13.29355709,0.791801985,53895.481
13.30996243,0.673394756,52521.546
13.21190107,0.610421413,52001.614
13.21480571,0.577022068,51944.962
13.28239399,0.706238724,53427.738
13.32559642,0.553572743,50932.803
14.54490426,0.539980078,78351.893
14.35160723,0.516074805,73029.693
12.80821846,0.627036149,47886.382
13.59880767,0.588944436,61606.682
13.64244956,0.580603564,60689.54
13.8005576,0.590035876,62495.756
13.05792403,0.677751929,49106.646
13.31829006,0.590629908,56485.747
12.88531373,0.546229401,38419.608
13.81525751,0.573715016,64431.285
13.43712804,0.583096875,51784.881
13.52136532,0.627282739,58805.527
13.42443667,0.617923234,54241.177
13.80578755,0.685958484,56411.463
13.46504957,0.642338154,54931.649
12.6432832,1.036801164,45874.858
13.40377596,0.642955678,54894.912
13.09477224,0.570663162,47715.29
13.74492888,0.615824211,59692.669
13.80907854,0.575591135,58626.155
14.06954157,0.619547795,67934.865
13.49541441,0.694803622,57181.573
13.29945751,0.618238408,51880.62
13.70373562,0.660529398,59766.118
13.22666247,0.597451618,49405.001
14.33249769,0.615724011,64843.337
15.04040791,0.570787381,81771.517
13.97974749,0.715507256,66825.662
13.79376743,0.991385688,57991.86
14.51755833,0.55963396,74956.173
13.35671966,0.649899824,57241.869
13.5016673,0.656736096,55664.498
14.89604612,0.534400492,74373.315
13.50180321,0.56316022,51899.857
13.63324429,0.665712558,60168.634
13.63068964,0.610333278,56141.471
13.10694167,0.606251728,48793.659
13.62654322,0.652542516,55708.541
15.10561154,0.538365788,79462.311
13.56314307,0.621726856,53500.448
14.02380975,0.623701655,66638.75
13.53630821,0.617266639,54702.196
14.74396894,0.512398972,75422.511
15.72148371,0.537973865,102058.118
13.13414101,0.684519617,53027.518
13.80859479,0.661803074,63685.225
13.71553681,0.641442827,59100.121
13.28882877,0.584315893,47198.87
13.17170224,0.56448915,47215.624
14.86782768,0.555077912,82159.79
13.82673425,0.622225786,63116.205
13.94268912,0.582408748,62178.356
13.60200647,0.773904222,55879.569
13.49435438,0.57558877,50174.024
13.88922172,0.622141806,60504.041
14.3553436,0.549960298,73758.808
13.78767928,0.552492519,58749.919
14.7319252,0.546410307,77674.936
14.19085586,0.621773452,67837.043
14.75544239,0.594575185,83427.697
13.68858247,0.737940228,59808.712
14.35803503,0.652667224,68668.588
14.24163228,0.653906321,68312.131
13.99443747,0.623657282,65943.429
13.36893077,0.639758582,49975.54
